"date","sessions","total_pageviews","total_bounces","avg_pageviews","avg_bounce"
2017-02-09,2630,9511,1359,3.61634980988593,0.516730038022814
2017-02-10,2156,8273,1095,3.83719851576994,0.507884972170687
2017-02-11,1749,6580,895,3.76214979988565,0.511720983419097
2017-02-12,1766,6752,900,3.8233295583239,0.509626274065685
2017-02-13,2237,8656,1095,3.86946803755029,0.48949485918641
2017-02-14,2335,9617,1196,4.1186295503212,0.51220556745182
2017-02-15,2565,9553,1350,3.72436647173489,0.526315789473684
2017-02-17,2717,9783,1438,3.60066249539934,0.52926021347074
2017-02-16,2496,9446,1291,3.78445512820513,0.517227564102564
2017-02-18,1732,6192,917,3.57505773672055,0.529445727482679
2017-02-19,2158,7791,1150,3.61028730305839,0.532900834105653
2017-02-21,2530,9368,1305,3.70276679841897,0.515810276679842
2017-02-20,2328,8392,1227,3.60481099656357,0.527061855670103
2017-02-22,2430,9780,1196,4.02469135802469,0.492181069958848
2017-02-23,2326,9752,1154,4.19260533104041,0.496130696474635
2017-02-26,1625,6071,817,3.736,0.502769230769231
2017-02-24,2071,8419,1027,4.06518590053114,0.49589570255915
2017-02-25,1623,5687,852,3.50400492914356,0.524953789279113
2017-02-27,2304,8578,1138,3.72309027777778,0.493923611111111
2017-02-28,2309,8417,1210,3.64530099610221,0.524036379385015
2017-03-01,2342,9227,1198,3.9397950469684,0.511528608027327
2017-03-02,2244,9337,1120,4.16087344028521,0.499108734402852
2017-03-03,2123,8183,1093,3.85445124823363,0.514837494112106
2017-03-04,1726,8126,884,4.70799536500579,0.512166859791425
2017-03-05,1809,7002,928,3.87064676616915,0.512990602542841
2017-03-06,2360,9331,1207,3.95381355932203,0.511440677966102
2017-03-07,2525,10103,1274,4.00118811881188,0.504554455445545
2017-03-08,2418,8978,1240,3.71298593879239,0.512820512820513
2017-03-09,2205,8563,1127,3.88344671201814,0.511111111111111
2017-03-10,2164,8506,1104,3.93068391866913,0.510166358595194
2017-03-11,1682,5716,947,3.39833531510107,0.563020214030916
2017-03-12,1760,6127,939,3.48125,0.533522727272727
2017-03-13,2460,9933,1260,4.03780487804878,0.51219512195122
2017-03-14,2302,8550,1172,3.7141615986099,0.509122502172024
2017-03-15,2429,10023,1214,4.12638946068341,0.499794153972828
2017-03-16,2363,8256,1277,3.49386373254338,0.540414727041896
2017-03-17,2104,7942,1098,3.77471482889734,0.521863117870722
2017-03-18,1591,6296,842,3.95725958516656,0.529226901319925
2017-03-19,1750,6160,931,3.52,0.532
2017-03-20,2356,9408,1237,3.99320882852292,0.525042444821732
2017-03-21,2566,9050,1373,3.52689010132502,0.535074045206547
2017-03-22,2534,9638,1338,3.8034727703236,0.528018942383583
2017-03-23,2715,9372,1561,3.45193370165746,0.574953959484346
2017-03-24,2307,8515,1231,3.69094061551799,0.53359341135674
2017-03-25,1694,5774,965,3.40850059031877,0.569657615112161
2017-03-26,1741,6024,976,3.46008041355543,0.560597357840322
2017-03-27,2480,9029,1242,3.64072580645161,0.500806451612903
2017-03-28,2526,9047,1328,3.58155186064925,0.525732383214568
2017-03-29,2482,9270,1300,3.73489121676068,0.523771152296535
2017-03-30,2653,9905,1351,3.7335092348285,0.509234828496042
2017-03-31,2232,8131,1159,3.6429211469534,0.51926523297491
2017-04-01,2117,6956,1131,3.28578176665092,0.534246575342466
2017-04-02,1837,6368,997,3.46652150244965,0.542732716385411
2017-04-03,2352,8512,1225,3.61904761904762,0.520833333333333
2017-04-04,2914,10306,1567,3.53671928620453,0.537748798901853
2017-04-05,2566,9193,1371,3.58261886204209,0.534294621979735
2017-04-06,2603,9558,1346,3.67191701882443,0.517095658855167
2017-04-07,2256,8670,1155,3.84308510638298,0.511968085106383
2017-04-08,1813,6000,1017,3.30943188086045,0.560948703805847
2017-04-09,1745,6134,914,3.51518624641834,0.52378223495702
2017-04-10,2521,9438,1283,3.74375247917493,0.508925029750099
2017-04-11,2424,9602,1228,3.96122112211221,0.506600660066007
2017-04-12,2302,8778,1151,3.81320590790617,0.5
2017-04-13,2262,8570,1167,3.78868258178603,0.515915119363395
2017-04-14,1816,7347,914,4.04570484581498,0.503303964757709
2017-04-15,1488,5343,826,3.59072580645161,0.55510752688172
2017-04-16,1493,5074,809,3.39852645679839,0.54186202277294
2017-04-17,2248,8333,1125,3.70685053380783,0.500444839857651
2017-04-18,2368,8600,1225,3.63175675675676,0.517314189189189
2017-04-19,2365,9013,1249,3.81099365750529,0.528118393234672
2017-04-20,2336,8742,1195,3.74229452054795,0.511558219178082
2017-04-21,2180,8320,1116,3.81651376146789,0.511926605504587
2017-04-22,1591,5667,829,3.56191074795726,0.521055939660591
2017-04-23,1534,5675,834,3.69947848761408,0.54367666232073
2017-04-24,2224,8081,1164,3.63354316546763,0.523381294964029
2017-04-25,2314,8750,1197,3.78133102852204,0.517286084701815
2017-04-27,2779,10342,1474,3.72148254767902,0.530406621086722
2017-04-26,4062,15076,2166,3.71147218119153,0.533234859675037
2017-04-28,2356,9214,1181,3.91086587436333,0.501273344651953
2017-04-29,1545,5215,846,3.37540453074434,0.547572815533981
2017-04-30,1578,5699,833,3.61153358681876,0.52788339670469
2017-05-01,2543,10099,1239,3.97129374754227,0.487219819111286
2017-05-02,2523,10550,1186,4.18152992469283,0.470075307173999
2017-05-03,2533,9805,1298,3.87090406632452,0.51243584682195
2017-05-04,2746,9306,1583,3.38892935178441,0.576474872541879
2017-05-05,1932,7612,969,3.93995859213251,0.501552795031056
2017-05-06,1365,5021,732,3.67838827838828,0.536263736263736
2017-05-07,1384,4657,735,3.36488439306358,0.53106936416185
2017-05-08,1993,8373,908,4.20120421475163,0.455594581033618
2017-05-09,2072,8768,996,4.23166023166023,0.480694980694981
2017-05-10,1995,8041,932,4.03057644110276,0.467167919799499
2017-05-12,1887,8005,899,4.24218335983042,0.476417594064653
2017-05-11,2180,8393,1066,3.85,0.488990825688073
2017-05-13,1244,4922,620,3.95659163987138,0.498392282958199
2017-05-14,1274,5527,588,4.33830455259027,0.461538461538462
2017-05-15,2326,8571,1160,3.68486672398968,0.498710232158212
2017-05-16,3021,10671,1643,3.53227408142999,0.543859649122807
2017-05-17,3042,12076,1473,3.96975673898751,0.48422090729783
2017-05-18,2662,11170,1194,4.19609316303531,0.448534936138242
2017-05-19,2189,9607,927,4.38876199177707,0.423481041571494
2017-05-20,1832,7189,838,3.92412663755459,0.457423580786026
2017-05-21,1631,7123,711,4.36725935009197,0.435928877988964
2017-05-22,2219,9537,939,4.29788192879676,0.423163587201442
2017-05-23,2102,8900,941,4.23406279733587,0.4476688867745
2017-05-24,2356,10325,1081,4.38242784380306,0.458828522920204
2017-05-25,2196,8859,994,4.03415300546448,0.45264116575592
2017-05-26,1976,7738,915,3.91599190283401,0.463056680161943
2017-05-27,1490,5065,790,3.3993288590604,0.530201342281879
2017-05-28,1450,5287,776,3.64620689655172,0.535172413793103
2017-05-30,2170,8450,1023,3.89400921658986,0.471428571428571
2017-05-29,1723,6156,944,3.57283807312826,0.547881601857226
2017-05-31,2256,9274,1105,4.11081560283688,0.489804964539007
2017-06-01,2764,10088,1398,3.64978292329957,0.505788712011577
2017-06-03,1387,5062,731,3.64960346070656,0.52703677000721
2017-06-02,2152,8459,1056,3.93076208178439,0.490706319702602
2017-06-04,1508,6061,757,4.01923076923077,0.501989389920424
2017-06-06,2354,8914,1103,3.78674596431606,0.46856414613424
2017-06-05,2435,9293,1228,3.81642710472279,0.504312114989733
2017-06-07,2249,8626,1137,3.83548243663851,0.50555802578924
2017-06-08,2244,8762,1106,3.90463458110517,0.492869875222816
2017-06-09,1903,7654,877,4.022070415134,0.460851287440883
2017-06-10,1525,5482,795,3.59475409836066,0.521311475409836
2017-06-11,1542,5951,757,3.85927367055772,0.490920881971466
2017-06-12,2325,9310,1102,4.00430107526882,0.473978494623656
2017-06-13,2146,9121,1000,4.2502329916123,0.465983224603914
2017-06-14,2477,9121,1260,3.68227694792087,0.508679854662899
2017-06-16,1985,7152,1093,3.60302267002519,0.550629722921914
2017-06-15,2192,7558,1164,3.44799270072993,0.531021897810219
2017-06-17,1378,4450,779,3.22931785195936,0.565312046444122
2017-06-18,1427,5228,777,3.66362999299229,0.544498948843728
2017-06-19,2102,7729,1071,3.67697431018078,0.509514747859182
2017-06-20,2123,8069,1065,3.80075365049458,0.501648610456901
2017-06-21,2321,7988,1194,3.44161999138302,0.514433433864714
2017-06-22,2216,8028,1150,3.62274368231047,0.518953068592058
2017-06-23,2068,7354,1068,3.55609284332689,0.516441005802708
2017-06-24,1489,5462,765,3.66823371390195,0.513767629281397
2017-06-25,1576,5696,818,3.61421319796954,0.519035532994924
2017-06-26,2193,8458,1101,3.85681714546284,0.502051983584131
2017-06-27,2728,9660,1392,3.54105571847507,0.510263929618768
2017-06-28,2629,9386,1362,3.5701787751997,0.518067706352225
2017-06-29,2666,10369,1332,3.88934733683421,0.499624906226557
2017-06-30,2452,8719,1265,3.55587275693312,0.515905383360522
2017-07-01,2017,6562,1190,3.25334655428855,0.589985126425384
2017-07-02,1876,5637,1078,3.00479744136461,0.574626865671642
2017-07-04,1912,5740,1099,3.0020920502092,0.574790794979079
2017-07-03,2016,6492,1142,3.2202380952381,0.566468253968254
2017-07-05,2838,9927,1487,3.49788583509514,0.523960535588443
2017-07-06,2606,8924,1341,3.42440521872602,0.514581734458941
2017-07-07,2405,9266,1200,3.85280665280665,0.498960498960499
2017-07-08,1835,6087,997,3.31716621253406,0.543324250681199
2017-07-09,1896,6523,1050,3.44040084388186,0.55379746835443
2017-07-10,2725,10183,1424,3.73688073394495,0.52256880733945
2017-07-11,2568,8978,1356,3.49610591900312,0.52803738317757
2017-07-12,2517,9778,1290,3.88478347238776,0.512514898688915
2017-07-13,2689,11060,1312,4.11305317962068,0.487913722573447
2017-07-14,2347,9506,1149,4.05027694929697,0.489561141883255
2017-07-15,1704,6251,966,3.66842723004695,0.566901408450704
2017-07-16,1742,6610,951,3.79448909299656,0.545924225028703
2017-07-17,2626,11183,1281,4.25856816450876,0.487814166031988
2017-07-18,2751,11386,1340,4.13885859687386,0.487095601599418
2017-07-19,2469,10573,1231,4.28230052652896,0.498582422033212
2017-07-20,2625,10120,1314,3.8552380952381,0.500571428571429
2017-07-21,2396,10410,1158,4.34474123539232,0.48330550918197
2017-07-22,1698,6484,917,3.81861012956419,0.540047114252061
2017-07-23,1898,7039,1041,3.7086406743941,0.548472075869336
2017-07-24,2383,9707,1180,4.07343684431389,0.495174150230802
2017-07-26,2670,11200,1278,4.19475655430712,0.478651685393258
2017-07-25,2579,10728,1235,4.15975184179915,0.478867778208608
2017-07-27,2484,10175,1199,4.09621578099839,0.48268921095008
2017-07-28,2379,9359,1185,3.93400588482556,0.498108448928121
2017-07-29,1578,6293,815,3.98795944233207,0.516476552598226
2017-07-30,1774,7258,913,4.0913190529876,0.514656144306652
2017-07-31,2579,11115,1289,4.30981000387747,0.499806126405584
